reference,EU_ReferenceScenario_2020,EU27,Emissions|CO2|Industry and Industrial Processes,Mt CO2/yr,450.2889,N/A,N/A,N/A,N/A,369.5632,N/A,N/A,N/A,N/A,337.4299,N/A,N/A,N/A,N/A,323.2061,323.5592,281.3174,237.4154,202.2596,191.6368,187.0322,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Emissions|CO2|Industry and Industrial Processes,Mt CO2/yr,450.2889,N/A,N/A,N/A,N/A,369.5632,N/A,N/A,N/A,N/A,337.4299,N/A,N/A,N/A,N/A,323.2061,323.5592,281.3174,237.4154,202.2596,191.6368,187.0322,NA
reference,EU_ReferenceScenario_2020,EU27,Emissions|CO2|Other Removal,Mt CO2/yr,349.13,N/A,N/A,N/A,N/A,308.1012,N/A,N/A,N/A,N/A,283.6201,N/A,N/A,N/A,N/A,263.1289,278.5852,275.21,234.0332,224.8317,214.7949,200.5872,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Emissions|CO2|Other Removal,Mt CO2/yr,349.13,N/A,N/A,N/A,N/A,308.1012,N/A,N/A,N/A,N/A,283.6201,N/A,N/A,N/A,N/A,263.1289,278.5852,275.21,234.0332,224.8317,214.7949,200.5872,NA
reference,EU_ReferenceScenario_2020,EU27,Emissions|Kyoto Gases,Mt CO2e/yr,4871.5021,N/A,N/A,N/A,N/A,4511.2392,N/A,N/A,N/A,N/A,4134.6121,N/A,N/A,N/A,N/A,3406.8367,3425.632,3061.1592,2734.3816,2467.9339,2318.6329,2263.5582,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Emissions|Kyoto Gases,Mt CO2e/yr,4871.5021,N/A,N/A,N/A,N/A,4511.2392,N/A,N/A,N/A,N/A,4134.6121,N/A,N/A,N/A,N/A,3406.8367,3425.632,3061.1592,2734.3816,2467.9339,2318.6329,2263.5582,NA
reference,EU_ReferenceScenario_2020,EU27,Energy Service|Transportation|Freight,Gtkm/yr,2361.6897,N/A,N/A,N/A,N/A,2320.403,N/A,N/A,N/A,N/A,2314.4945,N/A,N/A,N/A,N/A,2376.7699,2751.8071,3027.6423,3200.6401,3368.9601,3481.8358,3594.2355,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Energy Service|Transportation|Freight,Gtkm/yr,2361.6897,N/A,N/A,N/A,N/A,2320.403,N/A,N/A,N/A,N/A,2314.4945,N/A,N/A,N/A,N/A,2376.7699,2751.8071,3027.6423,3200.6401,3368.9601,3481.8358,3594.2355,NA
reference,EU_ReferenceScenario_2020,EU27,Energy Service|Transportation|Passenger,Gpkm/yr,5276.8252,N/A,N/A,N/A,N/A,5453.0868,N/A,N/A,N/A,N/A,5618.2772,N/A,N/A,N/A,N/A,4497.6156,6094.2909,6499.2827,6772.1545,7027.7312,7225.6801,7444.7604,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Energy Service|Transportation|Passenger,Gpkm/yr,5276.8252,N/A,N/A,N/A,N/A,5453.0868,N/A,N/A,N/A,N/A,5618.2772,N/A,N/A,N/A,N/A,4497.6156,6094.2909,6499.2827,6772.1545,7027.7312,7225.6801,7444.7604,NA
reference,EU_ReferenceScenario_2020,EU27,Final Energy|Bunkers,EJ/yr,3.2825,N/A,N/A,N/A,N/A,3.2991,N/A,N/A,N/A,N/A,3.1282,N/A,N/A,N/A,N/A,2.0576,3.561,3.6765,3.7861,3.9268,4.0702,4.1999,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Final Energy|Bunkers,EJ/yr,3.2825,N/A,N/A,N/A,N/A,3.2991,N/A,N/A,N/A,N/A,3.1282,N/A,N/A,N/A,N/A,2.0576,3.561,3.6765,3.7861,3.9268,4.0702,4.1999,NA
reference,EU_ReferenceScenario_2020,EU27,Final Energy|Electricity,EJ/yr,8.7725,N/A,N/A,N/A,N/A,9.0366,N/A,N/A,N/A,N/A,8.832,N/A,N/A,N/A,N/A,8.2731,8.8949,9.4995,9.901,10.2352,10.5675,10.846,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Final Energy|Electricity,EJ/yr,8.7725,N/A,N/A,N/A,N/A,9.0366,N/A,N/A,N/A,N/A,8.832,N/A,N/A,N/A,N/A,8.2731,8.8949,9.4995,9.901,10.2352,10.5675,10.846,NA
reference,EU_ReferenceScenario_2020,EU27,Final Energy|Heat,EJ/yr,2.1518,N/A,N/A,N/A,N/A,2.1689,N/A,N/A,N/A,N/A,1.8751,N/A,N/A,N/A,N/A,1.8859,2.0708,2.1712,2.1781,2.2118,2.1336,2.1023,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Final Energy|Heat,EJ/yr,2.1518,N/A,N/A,N/A,N/A,2.1689,N/A,N/A,N/A,N/A,1.8751,N/A,N/A,N/A,N/A,1.8859,2.0708,2.1712,2.1781,2.2118,2.1336,2.1023,NA
reference,EU_ReferenceScenario_2020,EU27,Final Energy|Hydrogen,EJ/yr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,7e-04,0.0054,0.0359,0.0903,0.1388,0.1886,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Final Energy|Hydrogen,EJ/yr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,7e-04,0.0054,0.0359,0.0903,0.1388,0.1886,NA
reference,EU_ReferenceScenario_2020,EU27,Final Energy|Industry,EJ/yr,11.4096,N/A,N/A,N/A,N/A,10.0631,N/A,N/A,N/A,N/A,9.5601,N/A,N/A,N/A,N/A,9.2262,9.644,9.4473,8.9991,8.7331,8.6832,8.7775,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Final Energy|Industry,EJ/yr,11.4096,N/A,N/A,N/A,N/A,10.0631,N/A,N/A,N/A,N/A,9.5601,N/A,N/A,N/A,N/A,9.2262,9.644,9.4473,8.9991,8.7331,8.6832,8.7775,NA
reference,EU_ReferenceScenario_2020,EU27,Final Energy|Non-Energy Use,EJ/yr,4.3852,N/A,N/A,N/A,N/A,4.1145,N/A,N/A,N/A,N/A,3.6039,N/A,N/A,N/A,N/A,3.5367,3.8239,4.1859,4.1995,4.3034,4.3424,4.3779,NA
reference,EU_ReferenceScenario_2020,EU27 & UK,Final Energy|Non-Energy Use,EJ/yr,4.3852,N/A,N/A,N/A,N/A,4.1145,N/A,N/A,N/A,N/A,3.6039,N/A,N/A,N/A,N/A,3.5367,3.8239,4.1859,4.1995,4.3034,4.3424,4.3779,NA
